CEO_name,Company,Left_Date,Start_Date,YEAR,Salary (x1000),Age,Title,Gender,City,State,Ticker,SEC Filing
"Philip O. Nolan, J.D.",STANLEY INC,Current,1/1/2002,2009,437.693,51,"Chairman, Chief Executive Officer and President",MALE,Arlington,VA,SXE.1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SXE.1
Thomas G. Stemberg,STAPLES INC,2/1/2002,1/1/1986,2001,728.533,53,chairman,MALE,Framingham,MA,SPLS,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPLS
"Ronald L. Sargent, M.B.A.",STAPLES INC,6/14/2016,2/1/2002,2016,1249.208,60,"Chairman, Chief Executive Officer and Chairman of Executive Committee",MALE,Framingham,MA,SPLS,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPLS
Orin C. Smith,STARBUCKS CORP,3/31/2005,6/1/2000,2004,1179.154,62,president & CEO,MALE,Seattle,WA,SBUX,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SBUX
James L. Donald,STARBUCKS CORP,1/7/2008,4/1/2005,2007,1000,53,president & CEO,MALE,Seattle,WA,SBUX,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SBUX
Howard D. Schultz,STARBUCKS CORP,3/20/2023,1/1/2008,2017,807.693,64,Founder and Executive Chairman,MALE,Seattle,WA,SBUX,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SBUX
Kevin R. Johnson,STARBUCKS CORP,4/4/2022,4/3/2017,2022,1302.595,61,Consultant,MALE,Seattle,WA,SBUX,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SBUX
Laxman Narasimhan,STARBUCKS CORP,Current,3/20/2023,2023,1275,55,CEO & Director,MALE,Seattle,WA,SBUX,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SBUX
Michael W. Morgan,STARTEK INC -OLD,5/30/2001,5/1/1990,2000,270.8,40,president & CEO,MALE,Greenwood Village,CO,SRT.2,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRT.2
"William E. Meade, Jr.",STARTEK INC -OLD,2/16/2005,6/1/2001,2004,431.704,47,president & CEO,MALE,Greenwood Village,CO,SRT.2,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRT.2
Steven D. Butler,STARTEK INC -OLD,1/5/2007,3/15/2005,2006,469.688,46,former president & CEO,MALE,Greenwood Village,CO,SRT.2,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRT.2
A. Laurence Jones,STARTEK INC -OLD,6/23/2011,1/5/2007,2010,487.853,57,"Chief Executive Officer, President and Executive Director",MALE,Greenwood Village,CO,SRT.2,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRT.2
Chad A. Carlson,STARTEK INC -OLD,7/20/2018,6/23/2011,2017,512.577,51,"President, CEO & Director",MALE,Greenwood Village,CO,SRT.2,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRT.2
Barry Stuart Sternlicht,STARWOOD HOTELS&RESORTS WRLD,10/1/2004,1/1/1999,2004,876.9,44,chairman & CEO,MALE,Stamford,CT,HOT,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HOT
Steven J. Heyer,STARWOOD HOTELS&RESORTS WRLD,3/31/2007,10/1/2004,2006,1000,53,CEO,MALE,Stamford,CT,HOT,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HOT
Frits Dirk van Paasschen,STARWOOD HOTELS&RESORTS WRLD,2/1/2015,9/24/2007,2015,304.483,54,"Chief Executive Officer, President and Director",MALE,Stamford,CT,HOT,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HOT
